birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Tianjin, China",Left-handed (two-handed backhand),"Xu, Yi-Fan",132,http://www.wtatennis.com/players/player/11559/title/yi-fan-xu,CHN,1.65,08-Aug-88,253,252,"Beijing, China",24,184
,,"Lee, So-Ra",,http://www.wtatennis.com/players/player/16191/title/so-ra-lee,KOR,,22-Jul-94,254,254,,21,184
"Poznan, Poland",Right-handed (two-handed backhand),"Piter, Katarzyna",123,http://www.wtatennis.com/players/player/13023/title/katarzyna-piter,POL,1.73,16-Feb-91,255,247,"Poznan, Poland",27,182
,,"Zidansek, Tamara",,http://www.wtatennis.com/players/player/24499/title/tamara-zidansek,SLO,,26-Dec-97,256,265,,20,182
"Libramont, Belgium",Right-handed (two-handed backhand),"Ferro, Fiona",123,http://www.wtatennis.com/players/player/20403/title/fiona-ferro,FRA,1.7,12-Mar-97,257,255,"Valbonne, France",30,179
"San Francisco, CA, USA",Right-handed (two-handed backhand),"Bellis, Catherine",110,http://www.wtatennis.com/players/player/23855/title/catherine-bellis,USA,1.68,08-Apr-99,258,268,"Atherton, CA, USA",15,178
,,"Kamenskaya, Victoria",,http://www.wtatennis.com/players/player/13715/title/victoria-kamenskaya,RUS,,26-Nov-91,259,256,,14,177
,,"Rodriguez, Victoria",,http://www.wtatennis.com/players/player/21211/title/victoria-rodriguez,MEX,,22-Apr-95,260,257,,24,175
,,"Wongteanchai, Varatchaya",,http://www.wtatennis.com/players/player/13641/title/varatchaya-wongteanchai,THA,,07-Sep-89,261,258,,23,174
"Delft, The Netherlands",Left-handed (two-handed backhand),"Rus, Arantxa",143,http://www.wtatennis.com/players/player/12579/title/arantxa-rus,NED,1.8,13-Dec-90,262,259,"Monster, The Netherlands",24,174
,,"Sabalenka, Aryna",,http://www.wtatennis.com/players/player/21548/title/aryna-sabalenka,BLR,,05-May-98,263,260,,13,174
,,"Ivakhnenko, Valentyna",,http://www.wtatennis.com/players/player/14517/title/valentyna-ivakhnenko,RUS,,27-Jun-93,264,261,,26,173
"Montréal, Canada",Right-handed (two-handed backhand),"Abanda, Francoise",145,http://www.wtatennis.com/players/player/21067/title/francoise-abanda,CAN,1.78,05-Feb-97,265,263,"Montréal, Canada",20,172
,,"Kawa, Katarzyna",,http://www.wtatennis.com/players/player/14938/title/katarzyna-kawa,POL,,17-Nov-92,266,267,,21,171
,,"Dzalamidze, Natela",,http://www.wtatennis.com/players/player/14618/title/natela-dzalamidze,RUS,,27-Feb-93,267,264,,26,170
,,"Paquet, Chloe",,http://www.wtatennis.com/players/player/18542/title/chloe-paquet,FRA,,01-Jul-94,268,269,,30,169
,,"Lukas, Tena",,http://www.wtatennis.com/players/player/18191/title/tena-lukas,CRO,,10-May-95,269,271,,23,169
,,"Seguel, Daniela",,http://www.wtatennis.com/players/player/14966/title/daniela-seguel,CHI,,15-Nov-92,270,274,,14,165
,,"Ianchuk, Elizaveta",,http://www.wtatennis.com/players/player/16219/title/elizaveta-ianchuk,UKR,,08-Mar-93,271,262,,26,165
,,"Gamiz, Andrea",,http://www.wtatennis.com/players/player/14017/title/andrea-gamiz,VEN,,31-Oct-92,272,275,,26,164
"Chicago, IL, USA",Left-handed (two-handed backhand),"Townsend, Taylor",,http://www.wtatennis.com/players/player/18262/title/taylor-townsend,USA,1.7,16-Apr-96,273,385,"Atlanta, GA, USA",19,163
,,"Ce, Gabriela",,http://www.wtatennis.com/players/player/15724/title/gabriela-ce,BRA,,03-Mar-93,274,270,,24,162
,,"Caregaro, Martina",,http://www.wtatennis.com/players/player/14138/title/martina-caregaro,ITA,,19-May-92,275,276,,28,162
,,"Gjorcheska, Lina",,http://www.wtatennis.com/players/player/19372/title/lina-gjorcheska,MKD,,03-Aug-94,276,277,,22,161
,,"Okuno, Ayaka",,http://www.wtatennis.com/players/player/19732/title/ayaka-okuno,JPN,,21-Jun-95,277,278,,28,160
,,"Vrljic, Ana",,http://www.wtatennis.com/players/player/8820/title/ana-vrljic,CRO,,01-Aug-84,278,279,,27,159
,,"Vikhlyantseva, Natalia",,http://www.wtatennis.com/players/player/21690/title/natalia-vikhlyantseva,RUS,,16-Feb-97,279,280,,17,158
"Moscow, Russia",Right-handed (two-handed backhand),"Bychkova, Ekaterina",130,http://www.wtatennis.com/players/player/1082/title/ekaterina-bychkova,RUS,1.71,05-Jun-85,280,272,"Moscow, Russia",15,153
,,"Lao, Danielle",,http://www.wtatennis.com/players/player/15821/title/danielle-lao,USA,,28-May-91,281,290,,20,152
"Bratislava, Slovakia",Right-handed (two-handed backhand),"Sramkova, Rebecca",150,http://www.wtatennis.com/players/player/20852/title/rebecca-sramkova,SVK,1.79,19-Oct-96,282,283,"Bratislava, Slovakia",24,151
,,"Aoyama, Shuko",,http://www.wtatennis.com/players/player/14239/title/shuko-aoyama,JPN,,19-Dec-87,283,285,,23,150
,,"Vinogradova, Polina",,http://www.wtatennis.com/players/player/15888/title/polina-vinogradova,RUS,,27-Nov-93,284,286,,16,150
,,"Gatto-Monticone, Giulia",,http://www.wtatennis.com/players/player/10242/title/giulia-gatto-monticone,ITA,,18-Nov-87,285,287,,16,150
"Barcelona, Spain",Right-handed (two-handed backhand),"Garcia Perez, Georgina",160,http://www.wtatennis.com/players/player/14947/title/georgina-garcia-perez,ESP,1.87,13-May-92,286,282,"Barcelona, Spain",24,149
,,"Raina, Ankita",,http://www.wtatennis.com/players/player/16254/title/ankita-raina,IND,,11-Jan-93,287,297,,28,147
,,"Xu, Shilin",,http://www.wtatennis.com/players/player/20923/title/shilin-xu,CHN,,10-Jan-98,288,289,,11,145
"Prague, Czech Republic",Right-handed (two-handed backhand),"Bouzkova, Marie",134,http://www.wtatennis.com/players/player/21945/title/marie-bouzkova,CZE,1.8,21-Jul-98,289,291,"Bradenton, FL, USA",14,144
"Rockhampton, Australia",Left-handed (two-handed backhand),"Sanders, Storm",130,http://www.wtatennis.com/players/player/17102/title/storm-sanders,AUS,1.66,11-Aug-94,290,292,"Melbourne, Australia",19,143
"Amiens, France",Right-handed (two-handed backhand),"Coin, Julie",143,http://www.wtatennis.com/players/player/1673/title/julie-coin,FRA,1.72,02-Dec-82,291,281,"Amiens, France",16,142
,,"Kiick, Allie",,http://www.wtatennis.com/players/player/18963/title/allie-kiick,USA,,30-Jun-95,292,293,"Fort Lauderdale, FL, USA",8,141
,,"Jakupovic, Dalila",,http://www.wtatennis.com/players/player/14446/title/dalila-jakupovic,SLO,,24-Mar-91,293,294,,26,140
"Jerusalem, Israel",Right-handed (two-handed backhand),"Peer, Shahar",132,http://www.wtatennis.com/players/player/10493/title/shahar-peer,ISR,1.7,01-May-87,294,236,"Macabim, Israel",20,137
"Pula, Croatia",Right-handed (two-handed backhand),"Mrdeza, Tereza",,http://www.wtatennis.com/players/player/13529/title/tereza-mrdeza,CRO,1.73,14-Nov-90,295,284,"Porec, Croatia",9,136
,,"Lottner, Antonia",,http://www.wtatennis.com/players/player/18099/title/antonia-lottner,GER,,13-Aug-96,296,317,,22,136
,,"Muchova, Karolina",,http://www.wtatennis.com/players/player/23343/title/karolina-muchova,CZE,,21-Aug-96,297,295,,21,136
,,"Benoit, Marie",,http://www.wtatennis.com/players/player/19548/title/marie-benoit,BEL,,16-Mar-95,298,296,,24,136
,,"Naydenova, Aleksandrina",,http://www.wtatennis.com/players/player/13845/title/aleksandrina-naydenova,BUL,,29-Feb-92,299,299,,24,133
,,"Eric, Doroteja",,http://www.wtatennis.com/players/player/16325/title/doroteja-eric,SRB,,01-Aug-92,300,300,,22,133
,,"Sánchez, Ana Sofia",,http://www.wtatennis.com/players/player/15744/title/ana-sofia-sanchez,MEX,,13-Apr-94,301,301,,26,133
"Jacksonville, FL, USA",Right-handed,"Albanese, Lauren",,http://www.wtatennis.com/players/player/12192/title/lauren-albanese,USA,1.7,01-Oct-89,302,332,"Coral Springs, FL, USA",21,133
"Düsseldorf, Germany",Right-handed (two-handed backhand),"Birrell, Kimberly",137,http://www.wtatennis.com/players/player/21510/title/kimberly-birrell,AUS,1.7,29-Apr-98,303,302,"Gold Coast, Australia",12,132
,,"Zhang, Ling",,http://www.wtatennis.com/players/player/12460/title/ling-zhang,HKG,,28-Oct-89,304,303,,26,132
,,"Korpatsch, Tamara",,http://www.wtatennis.com/players/player/19725/title/tamara-korpatsch,GER,,12-May-95,305,304,,21,132
,,"Andrianjafitrimo, Tessah",,http://www.wtatennis.com/players/player/23107/title/tessah-andrianjafitrimo,FRA,,11-Oct-98,306,305,,13,131
,,"Ninomiya, Makoto",,http://www.wtatennis.com/players/player/17126/title/makoto-ninomiya,JPN,,28-May-94,307,306,,26,131
,,"Ianchuk, Olga",,http://www.wtatennis.com/players/player/16227/title/olga-ianchuk,UKR,,29-Mar-95,308,298,,22,131
,,"Bondar, Anna",,http://www.wtatennis.com/players/player/24336/title/anna-bondar,HUN,,27-May-97,309,307,,17,131
,,"Khazaniuk, Deniz",,http://www.wtatennis.com/players/player/15863/title/deniz-khazaniuk,ISR,,24-Oct-94,310,308,,20,131
"Perth, Australia",Right-handed,"Moore, Jessica",137,http://www.wtatennis.com/players/player/13047/title/jessica-moore,AUS,1.67,16-Aug-90,311,288,"Williams, Australia",19,130
,,"Marand, Sanaz",,http://www.wtatennis.com/players/player/11550/title/sanaz-marand,USA,,21-Jun-88,312,310,,19,129
,,"Tarasova, Alena",,http://www.wtatennis.com/players/player/17983/title/alena-tarasova,RUS,,07-Dec-94,313,309,,15,128
"Hong Kong, China",Right-handed (two-handed backhand),"Moore, Tara",143,http://www.wtatennis.com/players/player/13751/title/tara-moore,GBR,1.63,06-Aug-92,314,312,"London, England",23,126
"Dnipropetrovsk, Ukraine",Right-handed (two-handed backhand),"Kichenok, Nadiia",,http://www.wtatennis.com/players/player/13874/title/nadiia-kichenok,UKR,,20-Jul-92,315,319,,16,126
"Moscow, Russia",,"Lykina, Ksenia",115,http://www.wtatennis.com/players/player/12535/title/ksenia-lykina,RUS,1.65,19-Jun-90,316,313,,22,126
,,"Stojanovic, Nina",,http://www.wtatennis.com/players/player/19921/title/nina-stojanovic,SRB,,30-Jul-96,317,314,,19,125
,,"Zhao, Carol",,http://www.wtatennis.com/players/player/17090/title/carol-zhao,CAN,,20-Jun-95,318,315,,17,124
,,"Ramialison, Irina",,http://www.wtatennis.com/players/player/14413/title/irina-ramialison,FRA,,09-Jun-91,319,316,,23,124
,,"Grymalska, Anastasia",,http://www.wtatennis.com/players/player/13160/title/anastasia-grymalska,ITA,,12-Jul-90,320,318,,21,124
,,"De Vroome, Indy",,http://www.wtatennis.com/players/player/19307/title/indy-de-vroome,NED,,21-May-96,321,328,,25,123
"Melbourne, Australia",Right-handed (two-handed backhand),"Rogowska, Olivia",128,http://www.wtatennis.com/players/player/13020/title/olivia-rogowska,AUS,1.75,07-Jun-91,322,331,"Melbourne, Australia",20,122
,,"Terziyska, Julia",,http://www.wtatennis.com/players/player/19781/title/julia-terziyska,BUL,,05-Mar-96,323,320,,18,122
,,"Dunne, Katy",,http://www.wtatennis.com/players/player/18929/title/katy-dunne,GBR,,16-Feb-95,324,321,,26,121
,,"Molinero, Florencia",,http://www.wtatennis.com/players/player/11799/title/florencia-molinero,ARG,,28-Nov-88,325,322,,19,121
"Sunchales, Argentina",Right-handed (two-handed backhand),"Ormaechea, Paula",126,http://www.wtatennis.com/players/player/14236/title/paula-ormaechea,ARG,1.7,28-Sep-92,326,341,"Buenos Aires, Argentina",23,121
,,"Gorgodze, Ekaterine",,http://www.wtatennis.com/players/player/13833/title/ekaterine-gorgodze,GEO,,03-Dec-91,327,323,,24,121
"Baltimore, USA",Right-handed (two-handed backhand),"Kingsley, Raveena",,http://www.wtatennis.com/players/player/23162/title/raveena-kingsley,USA,,23-Jul-98,328,324,"Fulton, USA",11,120
,,"Kan, Victoria",,http://www.wtatennis.com/players/player/18933/title/victoria-kan,RUS,,03-Aug-95,329,327,,20,120
,,"Okamura, Kyoka",,http://www.wtatennis.com/players/player/19223/title/kyoka-okamura,JPN,,06-Oct-95,330,325,,29,120
"Zlin, Czech Republic",Right-handed (two-handed backhand),"Voracova, Renata",,http://www.wtatennis.com/players/player/8819/title/renata-voracova,CZE,,06-Oct-83,331,326,"Zlin, Czech Republic",17,119
"Toronto, Canada",Right-handed (two-handed backhand),"Fichman, Sharon",125,http://www.wtatennis.com/players/player/12515/title/sharon-fichman,CAN,1.63,03-Dec-90,332,329,"Toronto, Canada",14,117
"Waidhofen, Austria",Right-handed (two-handed backhand),"Klaffner, Melanie",143,http://www.wtatennis.com/players/player/12052/title/melanie-klaffner,AUT,1.71,22-May-90,333,334,"Weyer, Austria",14,117
,,"Podoroska, Nadia",,http://www.wtatennis.com/players/player/19095/title/nadia-podoroska,ARG,,10-Feb-97,334,330,,19,117
,,"Ferrando, Cristiana",,http://www.wtatennis.com/players/player/19148/title/cristiana-ferrando,ITA,,10-Aug-95,335,340,,19,116
"Rome, Italy",Right-handed (two-handed backhand),"Burnett, Nastassja",141,http://www.wtatennis.com/players/player/13390/title/nastassja-burnett,ITA,1.78,20-Feb-92,336,311,"Rome, Italy",14,114
,,"Bara, Irina Maria",,http://www.wtatennis.com/players/player/17870/title/irina-maria-bara,ROU,,18-Mar-95,337,336,,22,113
,,"Matteucci, Alice",,http://www.wtatennis.com/players/player/19469/title/alice-matteucci,ITA,,29-Sep-95,338,333,,19,113
"Sokolov, CZE",Left-handed,"Vondrousova, Marketa",,http://www.wtatennis.com/players/player/24433/title/marketa-vondrousova,CZE,,28-Jun-99,339,337,"Sokolov, CZE",12,112
,,"Boeykens, Elyne",,http://www.wtatennis.com/players/player/15073/title/elyne-boeykens,BEL,,03-Apr-91,340,339,,19,111
,,"Vankova, Katerina",,http://www.wtatennis.com/players/player/11609/title/katerina-vankova,CZE,,30-Dec-89,341,343,,27,109
,,"Grammatikopoulou, Valentini",,http://www.wtatennis.com/players/player/19273/title/valentini-grammatikopoulou,GRE,,09-Feb-97,342,352,,20,109
,,"Haddad Maia, Beatriz",,http://www.wtatennis.com/players/player/17676/title/beatriz-haddad-maia,BRA,,30-May-96,343,345,,14,108
"Chonburi, Thailand",Right-handed (two-handed backhand),"Buayam, Kamonwan",143,http://www.wtatennis.com/players/player/18356/title/kamonwan-buayam,THA,1.73,15-Feb-96,344,346,"Bangkok, Thailand",20,108
"Istanbul, Turkey",Right-handed (two-handed backhand),"Ozgen, Pemra",132,http://www.wtatennis.com/players/player/9411/title/pemra-ozgen,TUR,1.7,08-May-86,345,335,"Istanbul,Turkey",28,107
,,"Tian, Ran",,http://www.wtatennis.com/players/player/16166/title/ran-tian,CHN,,08-Jan-94,346,349,,12,107
,,"Hsu, Ching-Wen",,http://www.wtatennis.com/players/player/18467/title/ching-wen-hsu,TPE,,19-Aug-96,347,350,,29,106
,,"Christie, Freya",,http://www.wtatennis.com/players/player/21737/title/freya-christie,GBR,,08-Nov-97,348,351,,17,106
,,"Herdzelas, Dea",,http://www.wtatennis.com/players/player/19547/title/dea-herdzelas,BIH,,07-Nov-96,349,338,,20,106
"Moscow, Russia",,"Morgina, Anna",,http://www.wtatennis.com/players/player/14037/title/anna-morgina,RUS,,21-Aug-91,350,348,"Cairo, Egypt",33,105
,,"Galfi, Dalma",,http://www.wtatennis.com/players/player/22132/title/dalma-galfi,HUN,,13-Aug-98,351,363,,10,105
,,"Eikeri, Ulrikke",,http://www.wtatennis.com/players/player/14465/title/ulrikke-eikeri,NOR,,16-Dec-92,352,355,,21,104
"Marietta, GA, USA",Right-handed (two-handed backhand),"Oudin, Melanie",130,http://www.wtatennis.com/players/player/13174/title/melanie-oudin,USA,1.68,23-Sep-91,353,384,"Marietta, GA, USA",12,103
,,"Inoue, Miyabi",,http://www.wtatennis.com/players/player/15141/title/miyabi-inoue,JPN,,19-Nov-91,354,356,,23,103
,,"Plipuech, Peangtarn",,http://www.wtatennis.com/players/player/15605/title/peangtarn-plipuech,THA,,15-Nov-92,355,357,,19,103
,,"Simmonds, Chanel",,http://www.wtatennis.com/players/player/14872/title/chanel-simmonds,RSA,,10-Aug-92,356,358,,22,103
,,"Embree, Lauren",,http://www.wtatennis.com/players/player/14405/title/lauren-embree,USA,,10-Jan-91,357,359,,19,103
"Moscow, Russia",Right-handed (two-handed backhand),"Sizikova, Yana",,http://www.wtatennis.com/players/player/17306/title/yana-sizikova,RUS,,12-Nov-94,358,360,"Moscow, Russia",23,103
"Moscow, Russia",Right-handed,"Kenin, Sofia",,http://www.wtatennis.com/players/player/21891/title/sofia-kenin,USA,,14-Nov-98,359,362,"Pembroke Pines, FL, USA",10,102
,,"Skamlova, Chantal",,http://www.wtatennis.com/players/player/15822/title/chantal-skamlova,SVK,,04-Sep-93,360,354,,20,102
,,"Pantuckova, Gabriela",,http://www.wtatennis.com/players/player/18045/title/gabriela-pantuckova,CZE,,10-Feb-95,361,361,,17,102
,,"Tomova, Viktoriya",,http://www.wtatennis.com/players/player/16780/title/viktoriya-tomova,BUL,,25-Feb-95,362,365,,25,102
,,"Marfutina, Maria",,http://www.wtatennis.com/players/player/21866/title/maria-marfutina,RUS,,06-Jun-97,363,401,,16,101
"Rouen, France",Right-handed (two-handed backhand),"Arcangioli, Manon",130,http://www.wtatennis.com/players/player/18554/title/manon-arcangioli,FRA,1.62,28-Aug-94,364,372,"Lillebonne, France",27,100
,,"Saez Larra, Olga",,http://www.wtatennis.com/players/player/16566/title/olga-saez-larra,ESP,,18-Sep-94,365,367,,26,100
,,"Zarazua, Renata",,http://www.wtatennis.com/players/player/21491/title/renata-zarazua,MEX,,30-Sep-97,366,364,,19,100
"Tashkent, Uzbekistan",Right-handed (two-handed backhand),"Amanmuradova, Akgul",163,http://www.wtatennis.com/players/player/360/title/akgul-amanmuradova,UZB,1.9,23-Jun-84,367,366,"Tashkent, Uzbekistan",18,99
,,"Kichenok, Lyudmyla",,http://www.wtatennis.com/players/player/13872/title/lyudmyla-kichenok,UKR,,20-Jul-92,368,347,,11,99
"Alexandria, Egypt",Right-handed (two-handed backhand),"El Tabakh, Heidi",150,http://www.wtatennis.com/players/player/10244/title/heidi-el-tabakh,CAN,1.8,25-Sep-86,369,368,"Toronto, Canada",18,98
,,"Ruse, Elena",,http://www.wtatennis.com/players/player/21024/title/elena-ruse,ROU,,06-Nov-97,370,369,,14,98
,,"Knoll, Xenia",,http://www.wtatennis.com/players/player/15305/title/xenia-knoll,SUI,,02-Sep-92,371,370,,18,98
"Dornbirn, Austria",,"Grabher, Julia",132,http://www.wtatennis.com/players/player/20928/title/julia-grabher,AUT,1.7,02-Jul-96,372,371,"Dornbirn, Austria",22,98
,,"Von Deichmann, Kathinka",,http://www.wtatennis.com/players/player/16400/title/kathinka-von-deichmann,LIE,,16-May-94,373,344,,22,98
"Forlimpopoli, Italy",Right-handed (two-handed backhand),"Barbieri, Gioia",141,http://www.wtatennis.com/players/player/12722/title/gioia-barbieri,ITA,1.7,09-Jul-91,374,373,"Cervia, Italy",17,97
,,"Trevisan, Martina",,http://www.wtatennis.com/players/player/15319/title/martina-trevisan,ITA,,03-Nov-93,375,374,,9,97
,,"Gao, Xinyu",,http://www.wtatennis.com/players/player/24320/title/xinyu-gao,CHN,,21-Nov-97,376,375,,17,97
,,"Namigata, Junri",,http://www.wtatennis.com/players/player/5927/title/junri-namigata,JPN,,05-Jul-82,377,376,,18,96
,,"Lemoine, Quirine",,http://www.wtatennis.com/players/player/14468/title/quirine-lemoine,NED,,25-Dec-91,378,377,,18,96
,,"Bai, Alison",,http://www.wtatennis.com/players/player/12228/title/alison-bai,AUS,,18-Jan-90,379,378,,24,96
,,"Dascalu, Nicoleta",,http://www.wtatennis.com/players/player/19287/title/nicoleta-dascalu,ROU,,19-Dec-95,380,379,,21,96
,,"Brouleau, Lou",,http://www.wtatennis.com/players/player/16932/title/lou-brouleau,FRA,,19-May-95,381,380,,19,95
,,"Kolar, Nastja",,http://www.wtatennis.com/players/player/15456/title/nastja-kolar,SLO,,15-Jul-94,382,381,,25,95
,,"Minnen, Greetje",,http://www.wtatennis.com/players/player/22546/title/greetje-minnen,BEL,,14-Aug-97,383,382,,13,95
"Sofia, Bulgaria",Right-handed (two-handed backhand),"Evtimova, Dia",115,http://www.wtatennis.com/players/player/10442/title/dia-evtimova,BUL,1.68,30-Apr-87,384,383,"Haskovo, Bulgaria",22,95
,,"Carreras, Amanda",,http://www.wtatennis.com/players/player/13298/title/amanda-carreras,GBR,,16-May-90,385,386,,23,93
,,"Daniels, Carolin",,http://www.wtatennis.com/players/player/15383/title/carolin-daniels,GER,,10-Jun-92,386,387,,18,93
"San Secondo Parmense, Italy",Right-handed (one-handed backhand),"Brianti, Alberta",132,http://www.wtatennis.com/players/player/835/title/alberta-brianti,ITA,1.65,05-Apr-80,387,342,"Fontanellato, Italy",18,92
,,"Al Nabhani, Fatma",,http://www.wtatennis.com/players/player/13044/title/fatma-al-nabhani,OMA,,20-May-91,388,393,,22,91
,,"Teichmann, Jil Belen",,http://www.wtatennis.com/players/player/21845/title/jil-belen-teichmann,SUI,,15-Jul-97,389,389,,16,91
,,"Alvarez Teran, Maria Fernanda",,http://www.wtatennis.com/players/player/12788/title/maria-fernanda-alvarez-teran,BOL,,28-Feb-89,390,390,,13,91
"Tambov, Russia",Right-handed (two-handed backhand),"Rodionova, Anastasia",130,http://www.wtatennis.com/players/player/7054/title/anastasia-rodionova,AUS,1.67,12-May-82,391,391,"Melbourne, Australia",9,90
,Right-handed (two-handed backhand),"Patterson, Tammi",,http://www.wtatennis.com/players/player/12989/title/tammi-patterson,AUS,1.67,03-Jan-90,392,392,"Brighton, Australia",13,90
,,"Konig, Pia",,http://www.wtatennis.com/players/player/17998/title/pia-konig,AUT,,14-May-93,393,394,,23,90
,,"Bhambri, Prerna",,http://www.wtatennis.com/players/player/14667/title/prerna-bhambri,IND,,12-Sep-92,394,395,,15,90
"Brisbane, Australia",Right-handed,"Hon, Priscilla",,http://www.wtatennis.com/players/player/21245/title/priscilla-hon,AUS,,10-May-98,395,396,"Brisbane, Australia",9,89
,,"Elie, Jennifer",,http://www.wtatennis.com/players/player/11276/title/jennifer-elie,USA,,22-Sep-86,396,397,,14,89
,,"Vasylyeva, Anastasiya",,http://www.wtatennis.com/players/player/14052/title/anastasiya-vasylyeva,UKR,,18-Jan-92,397,398,,28,89
,,"Choi, Ji-Hee",,http://www.wtatennis.com/players/player/16142/title/ji-hee-choi,KOR,,10-Feb-95,398,399,,18,89
,,"Pieri, Jessica",,http://www.wtatennis.com/players/player/22047/title/jessica-pieri,ITA,,24-Apr-97,399,400,,9,89
"Donetsk, Ukraine",Right-handed (two-handed backhand),"Beygelzimer, Yuliya",137,http://www.wtatennis.com/players/player/1028/title/yuliya-beygelzimer,UKR,1.74,20-Oct-83,400,353,"Donetsk, Ukraine",16,88
,,"Gilchrist, Nadja",,http://www.wtatennis.com/players/player/13058/title/nadja-gilchrist,USA,,07-Jun-90,401,409,,13,88
,,"Brito, Fernanda",,http://www.wtatennis.com/players/player/15903/title/fernanda-brito,CHI,,14-Feb-92,402,404,,16,88
,,"Guarachi, Alexa",,http://www.wtatennis.com/players/player/13057/title/alexa-guarachi,CHI,,17-Nov-90,403,403,,15,87
,,"Tanaka, Yuuki",,http://www.wtatennis.com/players/player/13542/title/yuuki-tanaka,JPN,,07-Mar-90,404,405,,22,87
,,"Totka, Naomi",,http://www.wtatennis.com/players/player/20066/title/naomi-totka,HUN,,19-Oct-95,405,406,,27,87
,,"Lertpitaksinchai, Nicha",,http://www.wtatennis.com/players/player/13643/title/nicha-lertpitaksinchai,THA,,14-Aug-91,406,407,,23,86
,,"Tomic, Sara",,http://www.wtatennis.com/players/player/23708/title/sara-tomic,AUS,,05-Feb-98,407,410,,16,85
,,"Aksu, Ayla",,http://www.wtatennis.com/players/player/19810/title/ayla-aksu,TUR,,15-Jul-96,408,388,,22,85
,,"Dabrowski, Gabriela",,http://www.wtatennis.com/players/player/13638/title/gabriela-dabrowski,CAN,,01-Apr-92,409,411,,17,84
,,"Luangnam, Nudnida",,http://www.wtatennis.com/players/player/10605/title/nudnida-luangnam,THA,,27-Feb-87,410,412,,16,84
,,"Pigossi, Laura",,http://www.wtatennis.com/players/player/16211/title/laura-pigossi,BRA,,02-Aug-94,411,413,,23,84
,,"You, Xiaodi",,http://www.wtatennis.com/players/player/23707/title/xiaodi-you,CHN,,12-May-96,412,414,,21,83
,,"Honcova, Michaela",,http://www.wtatennis.com/players/player/14742/title/michaela-honcova,SVK,,22-Dec-92,413,408,,20,83
,,"Zaja, Anna",,http://www.wtatennis.com/players/player/13053/title/anna-zaja,GER,,25-Jun-91,414,415,,21,83
,,"Kudermetova, Veronika",,http://www.wtatennis.com/players/player/19678/title/veronika-kudermetova,RUS,,24-Apr-97,415,416,,14,83
,,"Romeo, Caroline",,http://www.wtatennis.com/players/player/17668/title/caroline-romeo,FRA,,16-Jul-94,416,417,,23,83
,,"Hsu, Chieh-Yu",,http://www.wtatennis.com/players/player/13380/title/chieh-yu-hsu,TPE,,14-Jan-92,417,402,,27,82
,,"Giovine, Claudia",,http://www.wtatennis.com/players/player/12328/title/claudia-giovine,ITA,,18-Jul-90,418,418,,16,82
,,"Brescia, Georgia",,http://www.wtatennis.com/players/player/19747/title/georgia-brescia,ITA,,08-Feb-96,419,419,,19,82
,,"Tjandramulia, Olivia",,http://www.wtatennis.com/players/player/20533/title/olivia-tjandramulia,AUS,,11-May-97,420,420,,11,81
"Pietrasanta, Italy",,"Dentoni, Corinna",,http://www.wtatennis.com/players/player/11406/title/corinna-dentoni,ITA,,30-Jul-89,421,421,,17,81
"Kosice, Slovakia",,"Schmiedlova, Kristina",,http://www.wtatennis.com/players/player/22130/title/kristina-schmiedlova,SVK,,06-Aug-97,422,425,"Kosice, Slovakia",13,81
,,"Kuzmova, Viktoria",,http://www.wtatennis.com/players/player/23447/title/viktoria-kuzmova,SVK,,11-May-98,423,422,,14,81
"Nurnberg, Germany",Right-handed (two-handed backhand),"Vaidisova, Nicole",139,http://www.wtatennis.com/players/player/11206/title/nicole-vaidisova,CZE,,23-Apr-89,424,424,"Prague, Czech Republic",10,80
,,"Kerimbayeva, Kamila",,http://www.wtatennis.com/players/player/17434/title/kamila-kerimbayeva,KAZ,,18-Jun-95,425,427,,18,80
"Melbourne, Australia",Left-handed (two-handed backhand),"Robson, Laura",148,http://www.wtatennis.com/players/player/15680/title/laura-robson,GBR,1.8,21-Jan-94,426,465,"London, England",12,79
,,"Poznikhirenko, Ganna",,http://www.wtatennis.com/players/player/16957/title/ganna-poznikhirenko,UKR,,08-Apr-94,427,429,,8,78
,,"Samir, Sandra",,http://www.wtatennis.com/players/player/20342/title/sandra-samir,EGY,,04-Nov-97,428,423,,19,78
,,"Korashvili, Oleksandra",,http://www.wtatennis.com/players/player/19389/title/oleksandra-korashvili,UKR,,01-Mar-96,429,442,,17,77
,,"Yashina, Ekaterina",,http://www.wtatennis.com/players/player/14620/title/ekaterina-yashina,RUS,,06-Aug-93,430,431,,22,77
,,"Kvatsabaia, Sofia",,http://www.wtatennis.com/players/player/11871/title/sofia-kvatsabaia,GEO,,18-Jul-88,431,430,,22,77
,,"Sezer, Melis",,http://www.wtatennis.com/players/player/14464/title/melis-sezer,TUR,,02-Jun-93,432,432,,22,76
,,"Cavalle-Reimers, Yvonne",,http://www.wtatennis.com/players/player/15989/title/yvonne-cavalle-reimers,ESP,,22-May-92,433,433,,17,76
,,"Boualem, Josephine",,http://www.wtatennis.com/players/player/20114/title/josephine-boualem,FRA,,05-Aug-93,434,436,,23,76
,,"Sabino, Lisa",,http://www.wtatennis.com/players/player/12237/title/lisa-sabino,SUI,,26-Jul-86,435,437,,10,75
